品牌,加油站名稱,行政區,地址,緯度,經度,座標來源,查詢狀態,備註
台灣中油,中油南科站加油站,新市,臺南市新市區南科二路3號,23.096321,120.286955,map.com.tw-js:2,成功,
台塑石化,久井新市加油站,新市,臺南市新市區中山路326號,23.066932,120.289199,map.com.tw-js:2,成功,
台塑石化,全國新市交流道加油站,新市,臺南市新市區社內143之60號,23.065245,120.277983,map.com.tw-js:2,成功,
台灣中油,北基新市加油站,新市,臺南市新市區中山路227-3號,23.067243,120.290831,map.com.tw-js:2,成功,
台灣中油,南科新市交流道加油站,新市,臺南市新市區新港社大道188號,23.067751,120.280495,map.com.tw-js:2,成功,
台灣中油,台糖大營加油站,新市,臺南市新市區大營里大營1-11號,23.107511,120.318474,map.com.tw-js:2,成功,
台灣中油,台糖潭頂加油站,新市,臺南市新市區潭頂里潭頂542之1號,23.076053,120.317939,map.com.tw-js:2,成功,
台灣中油,新市站加油站,新市,臺南市新市區中山路156號,23.073514,120.299879,map.com.tw-js:2,成功,
台塑石化,統一新市加油站,新市,臺南市新市區中正路320號,23.078726,120.292468,map.com.tw-js:2,成功,
台塑石化,統一精工新市二加油站,新市,臺南市新市區中山路67號,23.078305,120.302843,map.com.tw-js:2,成功,
台灣中油,西拉雅站加油站,新市,臺南市新市區復興路850 號,23.105858,120.294915,map.com.tw-js:2,成功,
台灣中油,金田加油站,新市,臺南市新市區中山路10-16號,23.084469,120.304578,map.com.tw-js:2,成功,
台灣中油,東山服務區站加油站,東山區,臺南市東山區枋子林74-6號,23.284611,120.397647,map.com.tw-js:2,成功,
台灣中油,東山站加油站,東山區,臺南市東山區東正里東勢240號,23.329716,120.407218,map.com.tw-js:2,成功,
台灣中油,東誠加油站,東山區,臺南市東山區東山里東山 242-15 號,23.328121,120.406523,map.com.tw-js:2,成功,
台灣中油,淺山東原加油站,東山區,臺南市東山區東原里瓦厝子4-2號,23.269329,120.447891,map.com.tw-js:2,成功,
台灣中油,台糖太康加油站,柳營區,臺南市柳營區太康里200號,23.278491,120.311758,map.com.tw-js:2,成功,
台灣中油,吉克柳營加油站,柳營區,臺南市柳營區光褔里柳營132-38號,23.270542,120.315144,map.com.tw-js:2,成功,
台灣中油,柳營交流道加油站,柳營區,臺南市柳營區果毅里果毅後60-12號,23.259572,120.372859,map.com.tw-js:2,成功,
台灣中油,大楠西加油站,楠西區,臺南市楠西區鹿田里油車15-30號,23.160603,120.489415,map.com.tw-js:2,成功,
台灣中油,台糖六甲加油站,歸仁區,臺南市歸仁區新生街116號,23.192182,120.318389,map.com.tw-js:2,成功,
台灣中油,大佳加油站,歸仁區,臺南市歸仁區民族北街二號,22.967308,120.292362,map.com.tw-js:2,成功,
台灣中油,加泓加油站,永康區,臺南市永康區鹽行里中正路353號,23.035394,120.243237,map.com.tw-js:2,成功,
台灣中油,台糖永安加油站,永康區,臺南市永康區永安路350號,23.049293,120.241159,map.com.tw-js:2,成功,
台灣中油,瑞曜加油站,永康區,臺南市永康區二王里中山南路426號,23.017172,120.238696,map.com.tw-js:2,成功,
台灣中油,遠大加油站,永康區,臺南市永康區民族路七號,23.000663,120.273624,map.com.tw-js:2,成功,
台灣中油,大玉井加油站,玉井區,臺南市玉井區沙田里沙田21-21號,23.115577,120.471150,map.com.tw-js:2,成功,
台灣中油,新玉井站加油站,玉井區,臺南市玉井區礁吧哖西路155號,23.121192,120.454614,map.com.tw-js:2,成功,
台灣中油,走馬瀨加油站,玉井區,臺南市玉井區豐里里豐里89-8號,23.123699,120.460163,map.com.tw-js:2,成功,
台灣中油,白河交流道站加油站,白河區,臺南市白河區糞箕湖122之15號,23.345085,120.428131,map.com.tw-js:2,成功,
台灣中油,白河站加油站,白河區,臺南市白河區新厝子142號,23.348889,120.407530,map.com.tw-js:2,成功,
台塑石化,關仔嶺加油站,白河區,臺南市白河區虎山里木屐寮1-26號,23.348450,120.447366,map.com.tw-js:2,成功,
台塑石化,統一西港加油站,西港區,臺南市西港區營西里後營1號,23.139020,120.216545,map.com.tw-js:2,成功,
台灣中油,台大鹽水加油站,鹽水區,臺南市鹽水區義稠里義稠158號,23.320430,120.255633,map.com.tw-js:2,成功,
台塑石化,全國麻豆交站,麻豆區,臺南市麻豆區苓子林17-7號,23.178956,120.230209,map.com.tw-js:2,成功,
台灣中油,台糖文正加油站,麻豆區,臺南市麻豆區南勢里南勢86-8號,23.189058,120.268824,map.com.tw-js:2,成功,
台灣中油,安業加油站,麻豆區,臺南市麻豆區安東里安業275-6號,23.163165,120.246714,map.com.tw-js:2,成功,
台灣中油,金嘉旺加油站,麻豆區,臺南市麻豆區南勢里關帝廟17-19號,23.192551,120.257938,map.com.tw-js:2,成功,
台灣中油,麻新加油站,麻豆區,臺南市麻豆區麻佳路566號,23.185155,120.241094,map.com.tw-js:2,成功,
台灣中油,關廟服務區北上加油站,龍崎區,臺南市龍崎區楠坑里楠坑12-1號,22.931562,120.352185,map.com.tw-js:2,成功,
台灣中油,關廟服務區南下加油站,龍崎區,臺南市龍崎區楠坑里楠坑12-1號,22.931562,120.352185,map.com.tw-js:2,成功,
台灣中油,龍崎站加油站,龍崎區,臺南市龍崎區崎頂里新市子102-1號,22.963442,120.364720,map.com.tw-js:2,成功,
