district,brand_name,branch_name,addr_raw,address_norm,source_id,center_source,match_level,lon,lat
北區,統一超商股份有限公司,台南巿第７２分公司,臺南市北區仁愛里勝利路１９２．１９４號１樓,台南市北區仁愛里勝利路192194號,89401197,map.com.tw-js:2,PAGE_FALLBACK,120.218482,23.006723
北區,統一超商股份有限公司,台南巿第９５分公司,臺南市北區大豐里二十七鄰中華北路一段１４３號,台南市北區大豐里二十七鄰中華北路1段143號,97178024,map.com.tw-js:2,PAGE_FALLBACK,120.185195,23.009768
北區,統一超商股份有限公司,台南市第一二四分公司,臺南市北區大豐里和緯路五段七十六號一樓,台南市北區大豐里和緯路5段七十六號,16841676,map.com.tw-js:2,PAGE_FALLBACK,120.184250,23.006105
北區,統一超商股份有限公司,台南市第一六九分公司,臺南市北區大道里北門路2段500號1樓,台南市北區大道里北門路2段500號,27925461,map.com.tw-js:2,PAGE_FALLBACK,120.215997,23.009259
北區,統一超商股份有限公司,台南市第三一三分公司,臺南市北區海安路3段219巷5號1樓,台南市北區海安路3段219巷5號,54915311,map.com.tw-js:2,PAGE_FALLBACK,120.199649,23.006415
北區,統一超商股份有限公司,台南市第二一○分公司,臺南市北區大和里23鄰大港街140號1樓,台南市北區大和里23鄰大港街140號,28981139,map.com.tw-js:2,PAGE_FALLBACK,120.189978,23.013529
北區,統一超商股份有限公司,台南市第二二一分公司,臺南市北區小東路307巷75、77號1樓,台南市北區小東路307巷75、77號,53669614,map.com.tw-js:2,PAGE_FALLBACK,120.230690,23.000511
北區,統一超商股份有限公司,台南市第十六分公司,臺南市北區公園路599之11號1樓,台南市北區公園路599之11號,22656558,map.com.tw-js:2,PAGE_FALLBACK,120.212856,23.014702
北區,統一超商股份有限公司,台南市第四五五分公司,臺南市北區中華北路一段78巷53號1樓,台南市北區中華北路1段78巷53號,94273904,map.com.tw-js:2,PAGE_FALLBACK,120.187250,23.009029
北區,萊爾富國際股份有限公司,第五O八八分公司,臺南市北區和緯路4段95巷65號1樓,台南市北區和緯路4段95巷65號,94016722,map.com.tw-js:2,PAGE_FALLBACK,120.191394,23.006885
北區,萊爾富國際股份有限公司,第五五四五分公司,臺南市北區開元路485巷37號1樓及39號1樓,台南市北區開元路485巷37號,60405091,map.com.tw-js:2,PAGE_FALLBACK,120.224248,23.011180
北門區,統一超商股份有限公司,台南縣第一三四分公司,臺南市北門區鯤江村蚵寮841之1號1樓,台南市北門區鯤江村蚵寮841之1號,80023672,map.com.tw-js:2,PAGE_FALLBACK,120.137103,23.284427
北門區,萊爾富國際股份有限公司,第四二八一分公司,臺南市北門區永隆里北門1號1樓,台南市北門區永隆里北門1號,24793305,map.com.tw-js:2,PAGE_FALLBACK,120.124336,23.268183
