id,source_table,source_id,district,project_name,road,builder,household,use_zoning,main_use,main_material,declare_date,selling_period,building_lands,building_permit_date,building_permit_no,first_registration_date,address_seed,address_norm,lon,lat,center_source,match_level,extra,created_at,updated_at,geom_center_wkt
74,presale_csv,仁德區|樂成家|三甲子|南工造字第01387號,仁德區,樂成家,三甲子,順利建設有限公司負責人:吳寶珠,24,鄉村區乙種建築用地,H2:集合住宅、停車空間,鋼筋混凝土構造,1101027,自售:無,三甲子段99-1地號,,南工造字第01387號,,台南市仁德區三甲子,台南市仁德區三甲子,,,NONE,NONE,"{'builder': '順利建設有限公司負責人:吳寶珠', 'main_use': 'H2:集合住宅、停車空間', 'household': '24', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1101027', 'main_material': '鋼筋混凝土構造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '南工造字第01387號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
802,presale_csv,佳里區|佳禮秀墅|佳里區育善街135巷|(112)南工造字第01689-01號,佳里區,佳禮秀墅,佳里區育善街135巷,溢?股份有限公司,42,住宅區,住家用,鋼筋混凝土造,1140114,自售:無,佳里區育善街135巷,,(112)南工造字第01689-01號,,台南市佳里區佳里區育善街135巷,台南市佳里區佳里區育善街135巷,,,NONE,NONE,"{'builder': '溢?股份有限公司', 'main_use': '住家用', 'household': '42', 'use_zoning': '住宅區', 'declare_date': '1140114', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '(112)南工造字第01689-01號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
325,presale_csv,佳里區|吾映良品19|番子寮|(111)南工造字第00944號,佳里區,吾映良品19,番子寮,京上建設開發股份有限公司代表人：王龍偉,37,鄉村區乙種建築用地,住家用,鋼筋混凝土造,1111025,自售:無,新安段477地號,,(111)南工造字第00944號,,台南市佳里區番子寮,台南市佳里區番子寮,,,NONE,NONE,"{'builder': '京上建設開發股份有限公司代表人：王龍偉', 'main_use': '住家用', 'household': '37', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1111025', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '(111)南工造字第00944號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
698,presale_csv,佳里區|吾映良品20|嘉福里|(111)南工造字第01700號,佳里區,吾映良品20,嘉福里,京煌建設有限公司負責人:王偉丞,15,鄉村區乙種建築用地,H-2住宅,鋼筋混泥土構造,1130731,自售:無,鎮安段187-1地號,,(111)南工造字第01700號,,台南市佳里區嘉福里,台南市佳里區嘉福里,,,NONE,NONE,"{'builder': '京煌建設有限公司負責人:王偉丞', 'main_use': 'H-2住宅', 'household': '15', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1130731', 'main_material': '鋼筋混泥土構造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '(111)南工造字第01700號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
685,presale_csv,佳里區|墅說囍悅3|塭子內|(112)南工造字第00594號,佳里區,墅說囍悅3,塭子內,盈囍建設開發有限公司,18,鄉村區乙種建築用地,H2住宅,鋼筋混凝土造,1130710,自售:無,塭子內段409-9地號,,(112)南工造字第00594號,,台南市佳里區塭子內,台南市佳里區塭子內,,,NONE,NONE,"{'builder': '盈囍建設開發有限公司', 'main_use': 'H2住宅', 'household': '18', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1130710', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '(112)南工造字第00594號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
454,presale_csv,佳里區|太齊揚揚|番仔寮95號對面|(112)南工造字第00908號,佳里區,太齊揚揚,番仔寮95號對面,太齊建設有限公司,6,鄉村區乙種建築用地,住家用、停車空間,鋼筋混凝土造,1120511,自售:1120601~1140601,新安段393地號,,(112)南工造字第00908號,,台南市佳里區番仔寮95號對面,台南市佳里區番仔寮95號,,,NONE,NONE,"{'builder': '太齊建設有限公司', 'main_use': '住家用、停車空間', 'household': '6', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1120511', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:1120601~1140601', 'building_permit_no': '(112)南工造字第00908號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
336,presale_csv,佳里區|安新家|佳里興|南工造字第01512號,佳里區,安新家,佳里興,昱華建設股份有限公司,8,鄉村區乙種建築用地,集合住宅,鋼筋混凝土造,1111104,自售:無,佳化段1659地號,,南工造字第01512號,,台南市佳里區佳里興,台南市佳里區佳里興,,,NONE,NONE,"{'builder': '昱華建設股份有限公司', 'main_use': '集合住宅', 'household': '8', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1111104', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:無', 'building_permit_no': '南工造字第01512號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
631,presale_csv,佳里區|家薪7|海澄里番子寮41號旁|(113)南工造字第00739號,佳里區,家薪7,海澄里番子寮41號旁,鈗萬建設有限公司 代表人:吳明學,9,鄉村區乙種建築用地,住宅用,鋼筋混凝土造,1130411,自售:1130411~1140411,新安段146地號,,(113)南工造字第00739號,,台南市佳里區海澄里番子寮41號旁,台南市佳里區海澄里番子寮41號,,,NONE,NONE,"{'builder': '鈗萬建設有限公司 代表人:吳明學', 'main_use': '住宅用', 'household': '9', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1130411', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:1130411~1140411', 'building_permit_no': '(113)南工造字第00739號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
699,presale_csv,佳里區|家薪8|下?156號對面|(113)南工造字第01651號,佳里區,家薪8,下?156號對面,鈗萬建設有限公司  負責人:吳明學,12,鄉村區乙種建築用地,住家用,鋼筋混凝土造,1130801,自售:1130801~.&#140,鎮安段245地號,,(113)南工造字第01651號,,台南市佳里區下?156號對面,台南市佳里區下?156號,,,NONE,NONE,"{'builder': '鈗萬建設有限公司  負責人:吳明學', 'main_use': '住家用', 'household': '12', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1130801', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:1130801~.&#140', 'building_permit_no': '(113)南工造字第01651號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
700,presale_csv,佳里區|家薪9|下?156號對面|(113)南工造字第01652號,佳里區,家薪9,下?156號對面,鈗萬建設有限公司  負責人:吳明學,12,鄉村區乙種建築用地,住家用,鋼筋混凝土造,1130801,自售:1130801~.&#140,鎮安段245-13地號,,(113)南工造字第01652號,,台南市佳里區下?156號對面,台南市佳里區下?156號,,,NONE,NONE,"{'builder': '鈗萬建設有限公司  負責人:吳明學', 'main_use': '住家用', 'household': '12', 'use_zoning': '鄉村區乙種建築用地', 'declare_date': '1130801', 'main_material': '鋼筋混凝土造', 'building_lands': None, 'selling_period': '自售:1130801~.&#140', 'building_permit_no': '(113)南工造字第01652號', 'building_permit_date': None, 'first_registration_date': None}",2026-03-19 15:48:10.336040+00:00,2026-03-20 12:41:06.145999+00:00,
