source_id,name,district,addr_raw,address_norm,center_source,match_level,lon,lat
54382862,台南市第二一0分公司,南區,臺南市南區大同路二段136巷2號,台南市南區大同路2段136巷2號,NONE,NONE,,
90728447,台南市第二七○分公司,南區,臺南市南區郡南里德興路47之1號,台南市南區郡南里德興路47之1號,NONE,NONE,,
54378038,台南市第二三九分公司,南區,臺南市南區大忠里中華南路1段178號1樓,台南市南區大忠里中華南路1段178號,NONE,NONE,,
51665606,台南市第二三六分公司,南區,臺南市南區喜北里喜樹路220號,台南市南區喜北里喜樹路220號,NONE,NONE,,
90270270,台南興昌分公司,南區,臺南市南區大成里興昌路38巷1號,台南市南區大成里興昌路38巷1號,NONE,NONE,,
28428764,第三五二二分公司,南區,臺南市南區開南里新建路37巷2號1樓,台南市南區開南里新建路37巷2號,NONE,NONE,,
90678283,台南市第二七四分公司,善化區,臺南市善化區胡家里胡厝寮29之6號,台南市善化區胡家里胡厝寮29之6號,NONE,NONE,,
53677332,台南市第二二六分公司,善化區,臺南市善化區嘉北里13鄰352號1樓,台南市善化區嘉北里13鄰352號,NONE,NONE,,
97615616,台南市第四八八分公司,善化區,臺南市善化區昌隆里東勢寮186-9號1樓,台南市善化區昌隆里東勢寮186號,NONE,NONE,,
93502099,台南市第四六二分公司,善化區,臺南市善化區胡家里胡厝寮30-3號1樓,台南市善化區胡家里胡厝寮30號,NONE,NONE,,
27938445,台南縣第一八八分公司,善化區,臺南市善化區什乃里10鄰什乃190號,台南市善化區什乃里10鄰什乃190號,NONE,NONE,,
27257720,台南縣第一六八分公司,善化區,臺南市善化區田寮里7鄰六分寮74-1號1樓,台南市善化區田寮里7鄰六分寮74號,NONE,NONE,,
28435385,台南縣第二二七分公司,善化區,臺南市善化區小新里7鄰成功路173之1號1樓,台南市善化區小新里7鄰成功路173之1號,NONE,NONE,,
53028203,善化和平分公司,善化區,臺南市善化區中山路231之6號1樓,台南市善化區中山路231之6號,NONE,NONE,,
90181930,台南市第四一四分公司,大內區,臺南市大內區內庄172-8號1樓,台南市大內區內庄172號,NONE,NONE,,
28437031,台南縣第二三０分公司,大內區,臺南市大內區石城村16鄰石子瀨122之153號1樓,台南市大內區石城村16鄰石子瀨122之153號,NONE,NONE,,
