source_id,name,subtype,district,addr_raw,address_norm,center_source,match_level,extra
28415162,台南市第一一○分公司,統一超商股份有限公司,中西區,臺南市中西區西湖里西湖街3號1樓,台南市中西區西湖里西湖街3號,NONE,NONE,"{""branch_id"": ""28415162"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120105"", ""branch_status"": ""01"", ""established_date"": ""0960523""}"
27238180,台南市第一五四分公司,統一超商股份有限公司,中西區,臺南市中西區永福里忠義路二段一０九號一樓,台南市中西區永福里忠義路2段一0九號,NONE,NONE,"{""branch_id"": ""27238180"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120107"", ""branch_status"": ""01"", ""established_date"": ""0930618""}"
27923294,台南市第一六五分公司,統一超商股份有限公司,中西區,臺南市中西區西湖里湖美街10號,台南市中西區西湖里湖美街10號,NONE,NONE,"{""branch_id"": ""27923294"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120107"", ""branch_status"": ""01"", ""established_date"": ""0940816""}"
89403337,台南市第七十四分公司,統一超商股份有限公司,中西區,臺南市中西區民生里永華路一段248號1樓,台南市中西區民生里永華路1段248號,NONE,NONE,"{""branch_id"": ""89403337"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120105"", ""branch_status"": ""01"", ""established_date"": ""0840930""}"
90886260,台南市第三八０分公司,統一超商股份有限公司,中西區,臺南市中西區兌悅里金華路四段194號1樓、 信義街60巷6號1樓,台南市中西區兌悅里金華路4段194號,NONE,NONE,"{""branch_id"": ""90886260"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1100503""}"
00004065,台南市第三○○分公司,全家便利商店股份有限公司,中西區,臺南市中西區府前里府前路二段37號1樓,台南市中西區府前里府前路2段37號,NONE,NONE,"{""branch_id"": ""00004065"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141121"", ""branch_status"": ""01"", ""established_date"": ""1131008""}"
28439039,台南市第二０一分公司,統一超商股份有限公司,中西區,臺南市中西區水仙里民權路3段87號1樓,台南市中西區水仙里民權路3段87號,NONE,NONE,"{""branch_id"": ""28439039"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120107"", ""branch_status"": ""01"", ""established_date"": ""0970904""}"
28989630,台南市第二一三分公司,統一超商股份有限公司,中西區,臺南市中西區五妃里南門路229號1樓,台南市中西區五妃里南門路229號,NONE,NONE,"{""branch_id"": ""28989630"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120107"", ""branch_status"": ""01"", ""established_date"": ""0981230""}"
24812529,台南市第二七一分公司,統一超商股份有限公司,中西區,臺南市中西區水仙里民生路2段26、28號1樓,台南市中西區水仙里民生路2段26、28號,NONE,NONE,"{""branch_id"": ""24812529"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1050815""}"
51874717,台南市第二三八分公司,全家便利商店股份有限公司,中西區,臺南市中西區大涼里府前路二段277號,台南市中西區大涼里府前路2段277號,NONE,NONE,"{""branch_id"": ""51874717"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141121"", ""branch_status"": ""01"", ""established_date"": ""1070809""}"
24814287,台南市第二九二分公司,統一超商股份有限公司,中西區,臺南市中西區民權里民權路3段150號1樓,台南市中西區民權里民權路3段150號,NONE,NONE,"{""branch_id"": ""24814287"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1071102""}"
43167417,台南市第二二八分公司,全家便利商店股份有限公司,中西區,臺南市中西區仙草里五妃街270號1樓,台南市中西區仙草里五妃街270號,NONE,NONE,"{""branch_id"": ""43167417"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141120"", ""branch_status"": ""01"", ""established_date"": ""1050608""}"
83530650,台南市第二五五分公司,全家便利商店股份有限公司,中西區,臺南市中西區小西門里永福路一段191號,台南市中西區小西門里永福路1段191號,NONE,NONE,"{""branch_id"": ""83530650"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141120"", ""branch_status"": ""01"", ""established_date"": ""1081218""}"
54395135,台南市第二五六分公司,統一超商股份有限公司,中西區,臺南市中西區公正里民族路2段53號1樓,台南市中西區公正里民族路2段53號,NONE,NONE,"{""branch_id"": ""54395135"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1031227""}"
90620810,台南市第二八三分公司,全家便利商店股份有限公司,中西區,臺南市中西區法華里健康路一段90號1樓,台南市中西區法華里健康路1段90號,NONE,NONE,"{""branch_id"": ""90620810"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141121"", ""branch_status"": ""01"", ""established_date"": ""1110107""}"
90593335,台南市第二八五分公司,全家便利商店股份有限公司,中西區,臺南市中西區淺草里民生路二段375號、377號1樓,台南市中西區淺草里民生路2段375號,NONE,NONE,"{""branch_id"": ""90593335"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141121"", ""branch_status"": ""01"", ""established_date"": ""1110121""}"
90542842,台南市第二八○分公司,全家便利商店股份有限公司,中西區,臺南市中西區府前里金華路三段143號1樓,台南市中西區府前里金華路3段143號,NONE,NONE,"{""branch_id"": ""90542842"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141121"", ""branch_status"": ""01"", ""established_date"": ""1100923""}"
24798667,台南市第二六二分公司,統一超商股份有限公司,中西區,臺南市中西區小西里西門路1段658號B2,台南市中西區小西里西門路1段658號,NONE,NONE,"{""branch_id"": ""24798667"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1040917""}"
24813935,台南市第二四O分公司,全家便利商店股份有限公司,中西區,臺南市中西區西湖里湖美街72號1樓,台南市中西區西湖里湖美街72號,NONE,NONE,"{""branch_id"": ""24813935"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141121"", ""branch_status"": ""01"", ""established_date"": ""1071017""}"
84894524,台南市第十八分公司,統一超商股份有限公司,中西區,"臺南市中西區赤嵌里民族路2段76號之13,1樓",台南市中西區赤嵌里民族路2段76號,NONE,NONE,"{""branch_id"": ""84894524"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1100524"", ""branch_status"": ""01"", ""established_date"": ""0830711""}"
60522289,台南市第四九九分公司,統一超商股份有限公司,中西區,臺南市中西區小西門里西門路一段660號1樓,台南市中西區小西門里西門路1段660號,NONE,NONE,"{""branch_id"": ""60522289"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1141215""}"
93502295,台南市第四六四分公司,統一超商股份有限公司,中西區,臺南市中西區淺草里金華路三段218號1樓,台南市中西區淺草里金華路3段218號,NONE,NONE,"{""branch_id"": ""93502295"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1130117""}"
27935539,台南康樂二分公司,全家便利商店股份有限公司,中西區,臺南市中西區中正里康樂街150號1樓,台南市中西區中正里康樂街150號,NONE,NONE,"{""branch_id"": ""27935539"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141121"", ""branch_status"": ""01"", ""established_date"": ""0950306""}"
90682316,台南康樂分公司,全聯實業股份有限公司,中西區,臺南市中西區淺草里康樂街233、237、241號1、2樓及民生路二段173巷5號1、2樓,台南市中西區淺草里康樂街233、237、241號,NONE,NONE,"{""branch_id"": ""90682316"", ""company_id"": ""16740494"", ""company_name"": ""全聯實業股份有限公司"", ""updated_date"": ""1150106"", ""branch_status"": ""01"", ""established_date"": ""1100408""}"
51330975,台南民權分公司,全聯實業股份有限公司,中西區,臺南市中西區西賢里民權路四段350、352號,台南市中西區西賢里民權路4段350、352號,NONE,NONE,"{""branch_id"": ""51330975"", ""company_id"": ""16740494"", ""company_name"": ""全聯實業股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1060410""}"
54912665,台南西和分公司,全聯實業股份有限公司,中西區,臺南市中西區西和里西和路106號,台南市中西區西和里西和路106號,NONE,NONE,"{""branch_id"": ""54912665"", ""company_id"": ""16740494"", ""company_name"": ""全聯實業股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1080610""}"
27258571,台南赤崁分公司,全家便利商店股份有限公司,中西區,臺南市中西區三民里民族路二段257號1樓,台南市中西區三民里民族路2段257號,NONE,NONE,"{""branch_id"": ""27258571"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141121"", ""branch_status"": ""01"", ""established_date"": ""0940630""}"
23640979,臺南巿第四十分公司,統一超商股份有限公司,中西區,臺南市中西區臺南市永福路二段65號1樓,台南市中西區台南市永福路2段65號,NONE,NONE,"{""branch_id"": ""23640979"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120107"", ""branch_status"": ""01"", ""established_date"": ""0790514""}"
60635045,仁德德安分公司,全聯實業股份有限公司,仁德區,臺南市仁德區後壁里德安路156、158號1樓,台南市仁德區後壁里德安路156、158號,NONE,NONE,"{""branch_id"": ""60635045"", ""company_id"": ""16740494"", ""company_name"": ""全聯實業股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1140609""}"
27931610,仁德德洋分公司,全家便利商店股份有限公司,仁德區,臺南市仁德區後壁村德洋路248之1號1樓,台南市仁德區後壁村德洋路248之1號,NONE,NONE,"{""branch_id"": ""27931610"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141124"", ""branch_status"": ""01"", ""established_date"": ""0941221""}"
27238581,仁德鼎安分公司,全家便利商店股份有限公司,仁德區,臺南市仁德區後壁村德安路1之1號1樓,台南市仁德區後壁村德安路1之1號,NONE,NONE,"{""branch_id"": ""27238581"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141124"", ""branch_status"": ""01"", ""established_date"": ""0930629""}"
28426674,台南仁德分公司,全聯實業股份有限公司,仁德區,臺南市仁德區後壁村民安路1段402號1樓,台南市仁德區後壁村民安路1段402號,NONE,NONE,"{""branch_id"": ""28426674"", ""company_id"": ""16740494"", ""company_name"": ""全聯實業股份有限公司"", ""updated_date"": ""1070323"", ""branch_status"": ""01"", ""established_date"": ""0961204""}"
83245591,台南市第三七０分公司,統一超商股份有限公司,仁德區,臺南市仁德區太子里長興路77-1、83號1樓,台南市仁德區太子里長興路77-1、83號,NONE,NONE,"{""branch_id"": ""83245591"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1100114""}"
91055209,台南市第三八九分公司,統一超商股份有限公司,仁德區,臺南市仁德區後壁里德南路92號1樓,台南市仁德區後壁里德南路92號,NONE,NONE,"{""branch_id"": ""91055209"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1100806""}"
54379487,台南市第二0六分公司,全家便利商店股份有限公司,仁德區,臺南市仁德區德南路22巷1、3號、24、26號1樓,台南市仁德區德南路22巷1、3號,NONE,NONE,"{""branch_id"": ""54379487"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141124"", ""branch_status"": ""01"", ""established_date"": ""1030326""}"
51537808,台南市第二七七分公司,統一超商股份有限公司,仁德區,臺南市仁德區二行里15鄰中正西路347號1樓,台南市仁德區二行里15鄰中正西路347號,NONE,NONE,"{""branch_id"": ""51537808"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1061012""}"
91052815,台南市第二七七分公司,全家便利商店股份有限公司,仁德區,臺南市仁德區仁德里文心路70號,台南市仁德區仁德里文心路70號,NONE,NONE,"{""branch_id"": ""91052815"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141124"", ""branch_status"": ""01"", ""established_date"": ""1100727""}"
83530666,台南市第二五四分公司,全家便利商店股份有限公司,仁德區,臺南市仁德區成功里崇德路10號,台南市仁德區成功里崇德路10號,NONE,NONE,"{""branch_id"": ""83530666"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141124"", ""branch_status"": ""01"", ""established_date"": ""1081218""}"
90487881,台南市第二八二分公司,全家便利商店股份有限公司,仁德區,臺南市仁德區仁義里中清路2號、4號,台南市仁德區仁義里中清路2號,NONE,NONE,"{""branch_id"": ""90487881"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141124"", ""branch_status"": ""01"", ""established_date"": ""1101019""}"
27256503,台南市第四三一分公司,統一超商股份有限公司,仁德區,臺南市仁德區中洲里中洲路661、663號1樓,台南市仁德區中洲里中洲路661、663號,NONE,NONE,"{""branch_id"": ""27256503"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1111125"", ""branch_status"": ""01"", ""established_date"": ""0940523""}"
60724975,台南市第四九一分公司,統一超商股份有限公司,仁德區,臺南市仁德區仁愛里保仁路142號1樓、146號1樓,台南市仁德區仁愛里保仁路142號,NONE,NONE,"{""branch_id"": ""60724975"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1140509""}"
60600480,台南市第四九五分公司,統一超商股份有限公司,仁德區,臺南市仁德區仁愛里大同路三段478號1樓,台南市仁德區仁愛里大同路3段478號,NONE,NONE,"{""branch_id"": ""60600480"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1140909""}"
00099554,台南市第四八０分公司,統一超商股份有限公司,仁德區,臺南市仁德區後壁里018鄰德崙路23號1樓,台南市仁德區後壁里018鄰德崙路23號,NONE,NONE,"{""branch_id"": ""00099554"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": null, ""branch_status"": ""01"", ""established_date"": ""1131008""}"
16434919,台南縣第６１分公司,統一超商股份有限公司,仁德區,臺南市仁德區中正路二段１０５２號,台南市仁德區中正路2段1052號,NONE,NONE,"{""branch_id"": ""16434919"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1130328"", ""branch_status"": ""01"", ""established_date"": ""0870103""}"
16448857,台南縣第７２分公司,統一超商股份有限公司,仁德區,臺南市仁德區田厝村１鄰中正路一段５２７．５２９號,台南市仁德區田厝村1鄰中正路1段527529號,NONE,NONE,"{""branch_id"": ""16448857"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1130328"", ""branch_status"": ""01"", ""established_date"": ""0870604""}"
27930464,台南縣第一七六分公司,統一超商股份有限公司,仁德區,臺南市仁德區新田村4鄰勝利路139號1樓,台南市仁德區新田村4鄰勝利路139號,NONE,NONE,"{""branch_id"": ""27930464"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120106"", ""branch_status"": ""01"", ""established_date"": ""0941206""}"
27250819,台南縣第一五八分公司,統一超商股份有限公司,仁德區,臺南市仁德區仁義村1鄰中山路155號,台南市仁德區仁義村1鄰中山路155號,NONE,NONE,"{""branch_id"": ""27250819"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120106"", ""branch_status"": ""01"", ""established_date"": ""0940221""}"
27932771,台南縣第一八三分公司,統一超商股份有限公司,仁德區,臺南市仁德區保安村20鄰文賢路1段576號1樓,台南市仁德區保安村20鄰文賢路1段576號,NONE,NONE,"{""branch_id"": ""27932771"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120106"", ""branch_status"": ""01"", ""established_date"": ""0950103""}"
27255510,台南縣第一六三分公司,統一超商股份有限公司,仁德區,臺南市仁德區中洲村中洲路1巷220號1樓,台南市仁德區中洲村中洲路1巷220號,NONE,NONE,"{""branch_id"": ""27255510"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120106"", ""branch_status"": ""01"", ""established_date"": ""0940510""}"
27255504,台南縣第一六四分公司,統一超商股份有限公司,仁德區,臺南市仁德區中洲村中洲路1巷200號1樓,台南市仁德區中洲村中洲路1巷200號,NONE,NONE,"{""branch_id"": ""27255504"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120106"", ""branch_status"": ""01"", ""established_date"": ""0940510""}"
23222813,台南縣第三分公司,統一超商股份有限公司,仁德區,臺南市仁德區仁義村中山路497、499、501號1樓,台南市仁德區仁義村中山路497、499、501號,NONE,NONE,"{""branch_id"": ""23222813"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120107"", ""branch_status"": ""01"", ""established_date"": ""0780228""}"
28417844,台南縣第二０七分公司,統一超商股份有限公司,仁德區,臺南市仁德區太子村太子路122號1樓,台南市仁德區太子村太子路122號,NONE,NONE,"{""branch_id"": ""28417844"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120106"", ""branch_status"": ""01"", ""established_date"": ""0960627""}"
28421447,台南縣第二一一分公司,統一超商股份有限公司,仁德區,臺南市仁德區仁德村35鄰文德路157號,台南市仁德區仁德村35鄰文德路157號,NONE,NONE,"{""branch_id"": ""28421447"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120107"", ""branch_status"": ""01"", ""established_date"": ""0960912""}"
28423873,台南縣第二一四分公司,統一超商股份有限公司,仁德區,臺南市仁德區保安村11鄰中正路1段209號1樓,台南市仁德區保安村11鄰中正路1段209號,NONE,NONE,"{""branch_id"": ""28423873"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120107"", ""branch_status"": ""01"", ""established_date"": ""0961011""}"
16084238,台南縣第五十二分公司,統一超商股份有限公司,仁德區,臺南市仁德區二行村二仁路1段151號1樓,台南市仁德區二行村二仁路1段151號,NONE,NONE,"{""branch_id"": ""16084238"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1130328"", ""branch_status"": ""01"", ""established_date"": ""0860611""}"
27945683,台南縣第五十六分公司,統一超商股份有限公司,仁德區,臺南市仁德區後壁村6鄰德安路188號1樓,台南市仁德區後壁村6鄰德安路188號,NONE,NONE,"{""branch_id"": ""27945683"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120107"", ""branch_status"": ""01"", ""established_date"": ""0950911""}"
28420236,台南縣第四十八分公司,統一超商股份有限公司,仁德區,臺南市仁德區成功村崇德路88號1樓,台南市仁德區成功村崇德路88號,NONE,NONE,"{""branch_id"": ""28420236"", ""company_id"": ""22555003"", ""company_name"": ""統一超商股份有限公司"", ""updated_date"": ""1120107"", ""branch_status"": ""01"", ""established_date"": ""0960822""}"
27244768,第２８４６分公司,萊爾富國際股份有限公司,仁德區,臺南市仁德區中正路一段三四０號一樓,台南市仁德區中正路1段三四0號,NONE,NONE,"{""branch_id"": ""27244768"", ""company_id"": ""23285582"", ""company_name"": ""萊爾富國際股份有限公司"", ""updated_date"": ""1121122"", ""branch_status"": ""01"", ""established_date"": ""0931020""}"
80345771,佳里光復分公司,全家便利商店股份有限公司,佳里區,臺南市佳里區安西里光復路327號1樓,台南市佳里區安西里光復路327號,NONE,NONE,"{""branch_id"": ""80345771"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141203"", ""branch_status"": ""01"", ""established_date"": ""0911021""}"
70782999,佳里延平分公司,全家便利商店股份有限公司,佳里區,臺南市佳里區六安里忠孝東路91號1樓,台南市佳里區六安里忠孝東路91號,NONE,NONE,"{""branch_id"": ""70782999"", ""company_id"": ""23060248"", ""company_name"": ""全家便利商店股份有限公司"", ""updated_date"": ""1141203"", ""branch_status"": ""01"", ""established_date"": ""0890816""}"
70795832,台南佳里店分公司,全聯實業股份有限公司,佳里區,臺南市佳里區民安里同安寮80之2號,台南市佳里區民安里同安寮80之2號,NONE,NONE,"{""branch_id"": ""70795832"", ""company_id"": ""16740494"", ""company_name"": ""全聯實業股份有限公司"", ""updated_date"": ""1140721"", ""branch_status"": ""01"", ""established_date"": ""0910117""}"
