鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
歸仁區,房地(土地+建物)+車位,臺南市歸仁區智發街１５號七樓之１,22.81,住,,,1111207,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140124,115.4,2,2,2,有,有,9090000,83824,坡道平面,25.45,1550000,讓渡日期114.11.25讓渡總價909萬預售屋、或土地及建物分件登記案件；,RPSNMLKKKIKGFID18DA,53.04,0.0,5.54,有,
仁德區,房地(土地+建物)+車位,臺南市仁德區保生路２２號二樓之３,9.94,商,,,1111114,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1141117,96.24000000000001,2,2,1,有,有,8940000,103612,坡道平面,24.82,1540000,113/10/22加購地下一層31號車位，車位價格新台幣154萬元，原買賣總價款新台幣740萬元整，變更為新台幣894萬元整。預售屋、或土地及建物分件登記案件；,RPTNMLLLJHLGFID38DA,44.03,0.0,3.36,有,
中西區,房地(土地+建物)+車位,臺南市中西區民權路一段１９１號七樓之２,11.03,商,,,1110927,土地3建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1140506,92.44,2,1,1,有,有,9800000,118512,升降機械,19.03,1100000,預售屋、或土地及建物分件登記案件；,RPPNMLTKJHLGFAD87DA,46.28,0.0,3.05,有,
安南區,房地(土地+建物)+車位,臺南市安南區宜居三路２９０號一樓之２,18.77,住,,,1110920,土地2建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140912,142.47,3,2,2,有,有,13230000,98331,坡道平面,22.67,1450000,預售屋、或土地及建物分件登記案件；,RPPOMLTKJHLGFBD18EA,92.04,0.0,0.0,有,
中西區,房地(土地+建物)+車位,臺南市中西區民權路一段１９１號六樓之２,11.03,商,,,1110916,土地3建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1140506,92.44,2,1,1,有,有,9600000,115788,升降機械,19.03,1100000,預售屋、或土地及建物分件登記案件；,RPUOMLLLJHLGFAD77DA,46.28,0.0,3.05,有,
中西區,房地(土地+建物)+車位,臺南市中西區民權路一段１９１號八樓之２,11.03,商,,,1110927,土地3建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1140506,92.44,2,1,1,有,有,10150000,123280,升降機械,19.03,1100000,本案於113年2月6日親屬間轉讓，權利契約買賣價格不變。預售屋、或土地及建物分件登記案件；,RPVOMLLLJHLGFAD87DA,46.28,0.0,3.05,有,
中西區,房地(土地+建物)+車位,臺南市中西區民權路一段１９１號四樓之２,11.03,商,,,1110915,土地3建物1車位1,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1140506,92.44,2,1,1,有,有,9250000,111020,升降機械,19.03,1100000,預售屋、或土地及建物分件登記案件；,RPSOMLLLJHLGFAD57DA,46.28,0.0,3.05,有,
安南區,房地(土地+建物)+車位,臺南市安南區宜居三路２９０號五樓之５,18.55,住,,,1110815,土地2建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1140912,158.78,3,2,2,有,有,13660000,88916,坡道平面,21.46,1450000,預售屋、或土地及建物分件登記案件；,RPUOMLTKJHLGFBD68EA,81.2,0.0,9.7,有,
佳里區,房地(土地+建物)+車位,臺南市佳里區公園路６３６號五樓之３,24.33,住,,,1110618,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141103,114.25,2,2,1,有,有,7700000,75284,坡道平面,27.91,1200000,預售屋、或土地及建物分件登記案件；,RPWNMLMLJHLGFGD58DA,57.12,0.0,3.89,有,
佳里區,房地(土地+建物)+車位,臺南市佳里區公園路６３６號六樓之３,24.33,住,,,1110610,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1141103,114.25,2,2,1,有,有,7700000,75284,坡道平面,27.91,1200000,預售屋、或土地及建物分件登記案件；,RPOOMLMLJHLGFGD87DA,57.12,0.0,3.89,有,
