Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
90,D35,龍崎區,7036,番社段,217-6,120.4201712498,22.9370127554
91,D35,龍崎區,7036,番社段,217-10,120.4214482194,22.9361306699
92,D35,龍崎區,7036,番社段,217-14,120.4217382012,22.9361851877
93,D35,龍崎區,7036,番社段,217-15,120.4219394417,22.9361434448
94,D35,龍崎區,7036,番社段,217-27,120.4202800856,22.9357511904
95,D35,龍崎區,7036,番社段,217-30,120.4220937361,22.9361857001
96,D35,龍崎區,7036,番社段,226-15,120.4166353967,22.9385034427
97,D35,龍崎區,7036,番社段,232,120.4174628969,22.9406584322
98,D35,龍崎區,7036,番社段,232-1,120.4173546771,22.9412335760
99,D35,龍崎區,7036,番社段,238,120.4139171934,22.9365716713
100,D35,龍崎區,7036,番社段,238-4,120.4138204517,22.9367700108
101,D35,龍崎區,7036,番社段,238-5,120.4138172702,22.9365674021
102,D35,龍崎區,7036,番社段,239-2,120.4132742420,22.9366029455
103,D35,龍崎區,7036,番社段,239-3,120.4133701580,22.9365093997
104,D35,龍崎區,7036,番社段,240,120.4134328773,22.9363285057
105,D35,龍崎區,7036,番社段,240-3,120.4134543099,22.9362642929
106,D35,龍崎區,7036,番社段,242-2,120.4143577616,22.9362452149
107,D35,龍崎區,7036,番社段,242-5,120.4143871939,22.9363073493
108,D35,龍崎區,7036,番社段,242-7,120.4135317495,22.9363876260
109,D35,龍崎區,7036,番社段,263-4,120.4087426926,22.9362592344
110,D35,龍崎區,7036,番社段,263-7,120.4096528822,22.9365339380
111,D35,龍崎區,7036,番社段,263-8,120.4104737211,22.9361162135
112,D35,龍崎區,7036,番社段,263-9,120.4110027397,22.9371220214
113,D35,龍崎區,7036,番社段,270-1,120.4042154921,22.9356816508
114,D35,龍崎區,7036,番社段,270-2,120.4031967392,22.9356393186
115,D35,龍崎區,7036,番社段,274-5,120.4024407272,22.9351722747
116,D35,龍崎區,7036,番社段,282-1,120.4001306010,22.9324024928
117,D35,龍崎區,7036,番社段,282-5,120.3998260474,22.9330739192
118,D35,龍崎區,7036,番社段,328-1,120.3962832299,22.9299389422
119,D35,龍崎區,7036,番社段,329,120.4000195433,22.9259503616
120,D35,龍崎區,7036,番社段,330,120.3995050623,22.9245847380
121,D35,龍崎區,7036,番社段,334,120.3963516049,22.9228976833
122,D35,龍崎區,7036,番社段,334-2,120.3954452940,22.9234125938
123,D35,龍崎區,7036,番社段,334-3,120.3960211091,22.9233673989
124,D35,龍崎區,7036,番社段,334-5,120.3955757424,22.9229569246
125,D35,龍崎區,7036,番社段,335,120.3949792437,22.9230378571
