Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
85,D31,左鎮區,6754,左鎮段,318-14,120.3993781090,23.0555199702
86,D31,左鎮區,6754,左鎮段,318-15,120.3995775169,23.0563388420
87,D31,左鎮區,6754,左鎮段,320-1,120.3992116751,23.0549987319
88,D31,左鎮區,6754,左鎮段,320-7,120.3995993183,23.0549681868
89,D31,左鎮區,6754,左鎮段,320-8,120.3987729255,23.0547447904
90,D31,左鎮區,6754,左鎮段,324,120.3993251712,23.0550889117
91,D31,左鎮區,6754,左鎮段,325,120.3992697216,23.0541228321
92,D31,左鎮區,6754,左鎮段,327-2,120.3988819926,23.0541187727
93,D31,左鎮區,6754,左鎮段,329,120.3993657104,23.0535075190
94,D31,左鎮區,6754,左鎮段,329-1,120.3993382581,23.0530720790
95,D31,左鎮區,6754,左鎮段,329-4,120.3993708185,23.0527415939
96,D31,左鎮區,6754,左鎮段,345-1,120.3996748454,23.0511280675
97,D31,左鎮區,6754,左鎮段,345-2,120.3992135827,23.0516865707
98,D31,左鎮區,6754,左鎮段,347,120.3991285486,23.0525222983
99,D31,左鎮區,6754,左鎮段,348,120.3991930314,23.0526546072
100,D31,左鎮區,6754,左鎮段,350,120.3996081215,23.0522414559
101,D31,左鎮區,6754,左鎮段,350-1,120.3991296966,23.0524495548
102,D31,左鎮區,6754,左鎮段,350-3,120.3987443234,23.0522171938
103,D31,左鎮區,6754,左鎮段,351,120.3994517547,23.0518922715
104,D31,左鎮區,6754,左鎮段,352,120.4000402491,23.0520160071
105,D31,左鎮區,6754,左鎮段,360-1,120.3996804538,23.0544112315
106,D31,左鎮區,6754,左鎮段,360-2,120.3998063634,23.0546215089
107,D31,左鎮區,6754,左鎮段,361-2,120.3992148164,23.0535572809
108,D31,左鎮區,6754,左鎮段,384-1,120.3995412957,23.0503089751
109,D31,左鎮區,6754,左鎮段,385,120.3993139223,23.0504560055
110,D31,左鎮區,6754,左鎮段,386,120.3992220067,23.0509053818
111,D31,左鎮區,6754,左鎮段,391-1,120.3990216711,23.0498851398
112,D31,左鎮區,6754,左鎮段,393-1,120.3993006003,23.0504673272
113,D31,左鎮區,6754,左鎮段,395-1,120.3993374396,23.0493225832
114,D31,左鎮區,6754,左鎮段,395-3,120.3993642762,23.0498025175
115,D31,左鎮區,6754,左鎮段,395-4,120.3994461217,23.0495297935
116,D31,左鎮區,6754,左鎮段,397-1,120.3984050781,23.0487345396
117,D31,左鎮區,6754,左鎮段,399,120.3993446213,23.0489221664
118,D31,左鎮區,6754,左鎮段,399-2,120.3996193019,23.0491346970
119,D31,左鎮區,6754,左鎮段,399-3,120.3991744333,23.0491693641
120,D31,左鎮區,6754,左鎮段,402,120.4007518034,23.0479148963
121,D31,左鎮區,6754,左鎮段,402-1,120.4003583823,23.0478559183
122,D31,左鎮區,6754,左鎮段,402-3,120.4009005125,23.0478128537
123,D31,左鎮區,6754,左鎮段,403,120.4001263807,23.0477705135
124,D31,左鎮區,6754,左鎮段,404-1,120.3993843789,23.0475711752
125,D31,左鎮區,6754,左鎮段,405,120.3994597321,23.0480018037
126,D31,左鎮區,6754,左鎮段,405-1,120.3993804664,23.0479193977
127,D31,左鎮區,6754,左鎮段,405-3,120.3990932153,23.0482050829
128,D31,左鎮區,6754,左鎮段,409-1,120.3991502052,23.0469933756
129,D31,左鎮區,6754,左鎮段,409-2,120.3993983194,23.0461593142
130,D31,左鎮區,6754,左鎮段,409-17,120.3993003403,23.0467298981
131,D31,左鎮區,6754,左鎮段,409-20,120.3990827822,23.0473380234
132,D31,左鎮區,6754,左鎮段,415-1,120.3995968797,23.0449681565
133,D31,左鎮區,6754,左鎮段,416-1,120.3993613856,23.0444593669
134,D31,左鎮區,6754,左鎮段,416-8,120.3997433762,23.0437846084
135,D31,左鎮區,6754,左鎮段,416-11,120.3991409029,23.0443040125
136,D31,左鎮區,6754,左鎮段,416-17,120.3993544863,23.0436066364
137,D31,左鎮區,6754,左鎮段,416-21,120.3993474323,23.0444118891
138,D31,左鎮區,6754,左鎮段,416-22,120.3991746412,23.0443965365
139,D31,左鎮區,6754,左鎮段,432,120.4014366271,23.0480476515
140,D31,左鎮區,6754,左鎮段,433,120.4011142033,23.0483121318
141,D31,左鎮區,6754,左鎮段,433-1,120.4010225856,23.0484234093
142,D31,左鎮區,6754,左鎮段,434,120.4017951763,23.0483210355
143,D31,左鎮區,6754,左鎮段,434-1,120.4020447382,23.0482976791
144,D31,左鎮區,6754,左鎮段,452,120.4006784456,23.0544244580
145,D31,左鎮區,6754,左鎮段,453,120.4011605286,23.0545012429
146,D31,左鎮區,6754,左鎮段,454,120.4014177026,23.0544414893
147,D31,左鎮區,6754,左鎮段,454-3,120.4015404192,23.0544450318
148,D31,左鎮區,6754,左鎮段,454-4,120.4013279670,23.0545764293
149,D31,左鎮區,6754,左鎮段,456-10,120.4031707628,23.0545415697
150,D31,左鎮區,6754,左鎮段,456-16,120.4019615028,23.0543207746
151,D31,左鎮區,6754,左鎮段,456-17,120.4025604321,23.0546460367
152,D31,左鎮區,6754,左鎮段,456-22,120.4029007675,23.0546271022
153,D31,左鎮區,6754,左鎮段,456-23,120.4030152827,23.0544312175
154,D31,左鎮區,6754,左鎮段,456-24,120.4024084309,23.0543247359
155,D31,左鎮區,6754,左鎮段,481-1,120.4035527800,23.0545265562
156,D31,左鎮區,6754,左鎮段,482-1,120.4033633989,23.0545002719
157,D31,左鎮區,6754,左鎮段,489-4,120.4036050105,23.0545126877
158,D31,左鎮區,6754,左鎮段,490-2,120.4044509331,23.0545464623
159,D31,左鎮區,6754,左鎮段,491,120.4042712713,23.0542474440
160,D31,左鎮區,6754,左鎮段,494-7,120.4045555756,23.0543562095
161,D31,左鎮區,6754,左鎮段,495,120.4047351221,23.0544354858
162,D31,左鎮區,6754,左鎮段,495-2,120.4050748673,23.0543751416
163,D31,左鎮區,6754,左鎮段,495-3,120.4048436669,23.0546190270
164,D31,左鎮區,6754,左鎮段,508-1,120.4052742882,23.0545476320
165,D31,左鎮區,6754,左鎮段,508-3,120.4055419909,23.0544977928
166,D31,左鎮區,6754,左鎮段,524-1,120.4055510200,23.0492607351
167,D31,左鎮區,6754,左鎮段,535,120.4081077478,23.0516883311
168,D31,左鎮區,6754,左鎮段,536-1,120.4081079845,23.0523169038
169,D31,左鎮區,6754,左鎮段,536-3,120.4081760705,23.0524804982
170,D31,左鎮區,6754,左鎮段,536-4,120.4079709514,23.0526116279
171,D31,左鎮區,6754,左鎮段,536-5,120.4078940982,23.0519007841
172,D31,左鎮區,6754,左鎮段,536-12,120.4082080587,23.0528859378
173,D31,左鎮區,6754,左鎮段,537-5,120.4083356037,23.0529854813
174,D31,左鎮區,6754,左鎮段,540-2,120.4079857396,23.0534675040
175,D31,左鎮區,6754,左鎮段,540-3,120.4082869404,23.0533764897
176,D31,左鎮區,6754,左鎮段,540-10,120.4078809380,23.0530584711
177,D31,左鎮區,6754,左鎮段,540-12,120.4081504462,23.0530470413
178,D31,左鎮區,6754,左鎮段,543,120.4080121548,23.0538645834
179,D31,左鎮區,6754,左鎮段,545-1,120.4063782644,23.0547140782
180,D31,左鎮區,6754,左鎮段,546,120.4061254009,23.0547596026
181,D31,左鎮區,6754,左鎮段,546-3,120.4064205400,23.0545472182
182,D31,左鎮區,6754,左鎮段,546-6,120.4069191855,23.0544648377
183,D31,左鎮區,6754,左鎮段,547,120.4059240406,23.0547381355
184,D31,左鎮區,6754,左鎮段,557-5,120.4082455538,23.0553792043
185,D31,左鎮區,6754,左鎮段,557-6,120.4081621405,23.0559168109
186,D31,左鎮區,6754,左鎮段,557-8,120.4085043486,23.0560122852
187,D31,左鎮區,6754,左鎮段,560-5,120.4080420139,23.0568673448
188,D31,左鎮區,6754,左鎮段,560-10,120.4083891672,23.0568529472
189,D31,左鎮區,6754,左鎮段,560-20,120.4083781027,23.0564515655
190,D31,左鎮區,6754,左鎮段,562-1,120.4080835116,23.0581469324
191,D31,左鎮區,6754,左鎮段,562-5,120.4083538359,23.0573183819
192,D31,左鎮區,6754,左鎮段,562-6,120.4084443458,23.0571044682
193,D31,左鎮區,6754,左鎮段,562-7,120.4087617740,23.0583855487
194,D31,左鎮區,6754,左鎮段,562-8,120.4083964892,23.0573826633
195,D31,左鎮區,6754,左鎮段,562-9,120.4083224814,23.0580595537
196,D31,左鎮區,6754,左鎮段,562-10,120.4081552657,23.0583444373
197,D31,左鎮區,6754,左鎮段,562-24,120.4082189716,23.0576502310
198,D31,左鎮區,6754,左鎮段,562-25,120.4082068187,23.0576023608
199,D31,左鎮區,6754,左鎮段,562-27,120.4081064054,23.0579122248
200,D31,左鎮區,6754,左鎮段,562-28,120.4083624480,23.0576105288
201,D31,左鎮區,6754,左鎮段,562-29,120.4081766916,23.0575478486
202,D31,左鎮區,6754,左鎮段,562-30,120.4082699052,23.0577356961
203,D31,左鎮區,6754,左鎮段,562-37,120.4082347062,23.0575221021
204,D31,左鎮區,6754,左鎮段,562-38,120.4083549338,23.0580066392
205,D31,左鎮區,6754,左鎮段,562-39,120.4081624186,23.0579631831
206,D31,左鎮區,6754,左鎮段,562-40,120.4080954764,23.0579300708
207,D31,左鎮區,6754,左鎮段,562-42,120.4080886465,23.0578883595
208,D31,左鎮區,6754,左鎮段,562-43,120.4081262886,23.0578511998
209,D31,左鎮區,6754,左鎮段,562-44,120.4082412190,23.0578051730
210,D31,左鎮區,6754,左鎮段,562-54,120.4081304409,23.0571875050
211,D31,左鎮區,6754,左鎮段,570-6,120.4082148707,23.0598567244
212,D31,左鎮區,6754,左鎮段,570-18,120.4084969138,23.0584987583
213,D31,左鎮區,6754,左鎮段,570-20,120.4084327587,23.0596744616
214,D31,左鎮區,6754,左鎮段,570-21,120.4084873107,23.0593699931
215,D31,左鎮區,6754,左鎮段,570-34,120.4082392310,23.0592079770
216,D31,左鎮區,6754,左鎮段,570-35,120.4082634945,23.0591485852
217,D31,左鎮區,6754,左鎮段,570-36,120.4081185261,23.0590733871
218,D31,左鎮區,6754,左鎮段,570-37,120.4082341291,23.0590688884
219,D31,左鎮區,6754,左鎮段,570-40,120.4082806096,23.0590324777
220,D31,左鎮區,6754,左鎮段,570-74,120.4082429815,23.0599119800
221,D31,左鎮區,6754,左鎮段,570-83,120.4082062897,23.0584394389
222,D31,左鎮區,6754,左鎮段,570-96,120.4080822152,23.0590432465
223,D31,左鎮區,6754,左鎮段,570-104,120.4081501416,23.0591611264
224,D31,左鎮區,6754,左鎮段,570-105,120.4078765574,23.0585672648
225,D31,左鎮區,6754,左鎮段,570-116,120.4082332990,23.0595737308
226,D31,左鎮區,6754,左鎮段,570-124,120.4081205845,23.0594233936
227,D31,左鎮區,6754,左鎮段,570-155,120.4082889284,23.0588640012
228,D31,左鎮區,6754,左鎮段,570-156,120.4082990836,23.0588101414
229,D31,左鎮區,6754,左鎮段,570-157,120.4084425989,23.0593259340
230,D31,左鎮區,6754,左鎮段,570-158,120.4084226274,23.0592964393
231,D31,左鎮區,6754,左鎮段,596,120.4135270726,23.0547050323
232,D31,左鎮區,6754,左鎮段,597-2,120.4129943916,23.0545560689
233,D31,左鎮區,6754,左鎮段,597-3,120.4134618633,23.0544705416
234,D31,左鎮區,6754,左鎮段,597-5,120.4130940630,23.0546332950
235,D31,左鎮區,6754,左鎮段,597-9,120.4122066583,23.0544472979
236,D31,左鎮區,6754,左鎮段,607,120.4113782030,23.0549129049
237,D31,左鎮區,6754,左鎮段,610,120.4119200289,23.0546306297
238,D31,左鎮區,6754,左鎮段,613,120.4115174350,23.0545305882
239,D31,左鎮區,6754,左鎮段,617,120.4103959561,23.0545479676
240,D31,左鎮區,6754,左鎮段,617-1,120.4104061619,23.0546946885
241,D31,左鎮區,6754,左鎮段,617-2,120.4107823306,23.0546415875
242,D31,左鎮區,6754,左鎮段,617-3,120.4104556287,23.0546748603
243,D31,左鎮區,6754,左鎮段,626-4,120.4077786553,23.0559272908
244,D31,左鎮區,6754,左鎮段,626-5,120.4076103875,23.0554888212
245,D31,左鎮區,6754,左鎮段,626-8,120.4084672831,23.0548064580
246,D31,左鎮區,6754,左鎮段,626-10,120.4080034041,23.0553286581
247,D31,左鎮區,6754,左鎮段,626-12,120.4077725277,23.0558665490
248,D31,左鎮區,6754,左鎮段,626-14,120.4078783077,23.0556457982
249,D31,左鎮區,6754,左鎮段,628,120.4099234788,23.0547344681
250,D31,左鎮區,6754,左鎮段,628-4,120.4099092655,23.0543326097
