Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
93,D07,安平區,0122,��平段,1060,120.1663709190,23.0011682537
94,D07,安平區,0122,安平段,1061,120.1662911983,23.0012347055
95,D07,安平區,0122,安平段,1061-1,120.1663297433,23.0012022325
96,D07,安平區,0122,安平段,1061-2,120.1662568102,23.0012629095
97,D07,安平區,0122,安平段,1061-3,120.1662217322,23.0012920223
98,D07,安平區,0122,安平段,1061-4,120.1661698240,23.0013358860
99,D07,安平區,0122,安平段,1062,120.1661019288,23.0013930996
100,D07,安平區,0122,安平段,1063,120.1659320641,23.0015352293
101,D07,安平區,0122,安平段,1063-1,120.1660343982,23.0014492121
102,D07,安平區,0122,安平段,1064,120.1658911112,23.0018894247
103,D07,安平區,0122,安平段,1065,120.1657200268,23.0019862269
104,D07,安平區,0122,安平段,1065-1,120.1654868525,23.0019619610
105,D07,安平區,0122,安平段,1065-2,120.1655533150,23.0020811583
106,D07,安平區,0122,安平段,1065-3,120.1654830315,23.0021240862
107,D07,安平區,0122,安平段,1066,120.1657060023,23.0017229451
108,D07,安平區,0122,安平段,1066-3,120.1657705769,23.0016717094
109,D07,安平區,0122,安平段,1066-6,120.1656748220,23.0017484899
110,D07,安平區,0122,安平段,1066-7,120.1656441449,23.0017745748
111,D07,安平區,0122,安平段,1066-8,120.1656131084,23.0018003885
112,D07,安平區,0122,安平段,1066-9,120.1655817150,23.0018252265
113,D07,安平區,0122,安平段,1066-10,120.1655524145,23.0018521949
114,D07,安平區,0122,安平段,1067,120.1665372043,23.0018200331
115,D07,安平區,0122,安平段,1068,120.1663596783,23.0012698115
116,D07,安平區,0122,安平段,1069,120.1660096274,23.0012484041
117,D07,安平區,0123,上鯤鯓段,398,120.1745612808,22.9988260879
118,D07,安平區,0123,上鯤鯓段,399,120.1746724410,22.9986134914
119,D07,安平區,0123,上鯤鯓段,399-1,120.1746641041,22.9985717063
120,D07,安平區,0123,上鯤鯓段,399-2,120.1746547742,22.9985302427
121,D07,安平區,0123,上鯤鯓段,399-3,120.1746459786,22.9984897159
122,D07,安平區,0123,上鯤鯓段,399-4,120.1746363542,22.9984432665
123,D07,安平區,0123,上鯤鯓段,400,120.1744237961,22.9983183582
124,D07,安平區,0123,上鯤鯓段,400-1,120.1744681581,22.9983165448
125,D07,安平區,0123,上鯤鯓段,400-2,120.1745118160,22.9983139344
126,D07,安平區,0123,上鯤鯓段,400-3,120.1745559212,22.9983120569
127,D07,安平區,0123,上鯤鯓段,400-4,120.1746005100,22.9983096280
128,D07,安平區,0123,上鯤鯓段,400-5,120.1746445890,22.9983078394
129,D07,安平區,0123,上鯤鯓段,400-6,120.1746876156,22.9983057278
130,D07,安平區,0123,上鯤鯓段,400-7,120.1747317056,22.9983072944
131,D07,安平區,0123,上鯤鯓段,402,120.1743746353,22.9986163862
132,D07,安平區,0123,上鯤鯓段,402-1,120.1743846827,22.9986609220
133,D07,安平區,0123,上鯤鯓段,402-2,120.1743563561,22.9985321203
134,D07,安平區,0123,上鯤鯓段,403,120.1742796875,22.9983268704
135,D07,安平區,0123,上鯤鯓段,404,120.1739911216,22.9989838835
136,D07,安平區,0123,上鯤鯓段,405,120.1740587672,22.9986911448
137,D07,安平區,0123,上鯤鯓段,405-2,120.1740311829,22.9985628023
138,D07,安平區,0123,上鯤鯓段,405-3,120.1740220507,22.9985232709
139,D07,安平區,0123,上鯤鯓段,407,120.1738398421,22.9988233945
140,D07,安平區,0123,上鯤鯓段,407-1,120.1738137356,22.9987077248
141,D07,安平區,0123,上鯤鯓段,407-2,120.1737926900,22.9986066989
142,D07,安平區,0123,上鯤鯓段,407-3,120.1737835063,22.9985666801
143,D07,安平區,0123,上鯤鯓段,407-4,120.1737757980,22.9985270011
144,D07,安平區,0123,上鯤鯓段,407-5,120.1739330482,22.9983032378
145,D07,安平區,0123,上鯤鯓段,407-6,120.1738307977,22.9987837134
146,D07,安平區,0123,上鯤鯓段,407-7,120.1738226162,22.9987434532
147,D07,安平區,0123,上鯤鯓段,407-9,120.1738077677,22.9986758259
148,D07,安平區,0123,上鯤鯓段,407-10,120.1737999817,22.9986433082
149,D07,安平區,0123,上鯤鯓段,407-11,120.1737048700,22.9984986634
150,D07,安平區,0123,上鯤鯓段,408,120.1740054286,22.9984429853
151,D07,安平區,0123,上鯤鯓段,408-3,120.1737597551,22.9982970667
152,D07,安平區,0123,上鯤鯓段,408-4,120.1737155413,22.9983023226
153,D07,安平區,0123,上鯤鯓段,408-5,120.1736715167,22.9983074787
154,D07,安平區,0123,上鯤鯓段,408-6,120.1736296529,22.9983186188
155,D07,安平區,0123,上鯤鯓段,408-8,120.1738035737,22.9982926944
156,D07,安平區,0123,上鯤鯓段,408-9,120.1736961471,22.9984582079
157,D07,安平區,0123,上鯤鯓段,409,120.1730676729,22.9993565018
158,D07,安平區,0123,上鯤鯓段,409-1,120.1734841187,22.9992585052
159,D07,安平區,0123,上鯤鯓段,410,120.1726595345,22.9996232488
160,D07,安平區,0123,上鯤鯓段,410-1,120.1726719193,22.9995668740
161,D07,安平區,0123,上鯤鯓段,410-2,120.1726643042,22.9995282504
162,D07,安平區,0123,上鯤鯓段,410-3,120.1726544178,22.9994889713
163,D07,安平區,0123,上鯤鯓段,411,120.1727573755,22.9993712774
164,D07,安平區,0123,上鯤鯓段,411-1,120.1726609741,22.9993890141
165,D07,安平區,0123,上鯤鯓段,411-2,120.1725408375,22.9994128404
166,D07,安平區,0123,上鯤鯓段,411-4,120.1727089156,22.9993796140
167,D07,安平區,0123,上鯤鯓段,411-5,120.1726129528,22.9993973657
168,D07,安平區,0123,上鯤鯓段,412,120.1733461538,22.9990264798
169,D07,安平區,0123,上鯤鯓段,413,120.1735731691,22.9987805169
170,D07,安平區,0123,上鯤鯓段,413-1,120.1733443890,22.9988172826
171,D07,安平區,0123,上鯤鯓段,413-2,120.1732988331,22.9988309254
172,D07,安平區,0123,上鯤鯓段,413-3,120.1732527980,22.9988363947
173,D07,安平區,0123,上鯤鯓段,413-4,120.1732084281,22.9988442955
174,D07,安平區,0123,上鯤鯓段,413-5,120.1731642739,22.9988529881
175,D07,安平區,0123,上鯤鯓段,413-6,120.1731198970,22.9988607360
176,D07,安平區,0123,上鯤鯓段,413-7,120.1730759769,22.9988690179
177,D07,安平區,0123,上鯤鯓段,413-10,120.1734820941,22.9987948916
178,D07,安平區,0123,上鯤鯓段,413-11,120.1734369250,22.9988039851
179,D07,安平區,0123,上鯤鯓段,413-12,120.1733917059,22.9988125249
180,D07,安平區,0123,上鯤鯓段,414,120.1729885857,22.9990923091
181,D07,安平區,0123,上鯤鯓段,414-1,120.1729435651,22.9991000461
182,D07,安平區,0123,上鯤鯓段,414-2,120.1728988372,22.9991083039
183,D07,安平區,0123,上鯤鯓段,415,120.1729442222,22.9988930305
184,D07,安平區,0123,上鯤鯓段,416,120.1727769932,22.9991310124
185,D07,安平區,0123,上鯤鯓段,416-1,120.1728476574,22.9991181033
186,D07,安平區,0123,上鯤鯓段,416-3,120.1726929409,22.9991463703
187,D07,安平區,0123,上鯤鯓段,417,120.1727890855,22.9989213318
188,D07,安平區,0123,上鯤鯓段,417-1,120.1726309331,22.9989508802
189,D07,安平區,0123,上鯤鯓段,417-2,120.1727214492,22.9989341371
190,D07,安平區,0123,上鯤鯓段,417-3,120.1726763217,22.9989423457
191,D07,安平區,0123,上鯤鯓段,418,120.1726361865,22.9992106042
192,D07,安平區,0123,上鯤鯓段,418-1,120.1725396544,22.9992481322
193,D07,安平區,0123,上鯤鯓段,418-5,120.1725260529,22.9992053903
194,D07,安平區,0123,上鯤鯓段,418-6,120.1725183381,22.9991735119
195,D07,安平區,0123,上鯤鯓段,418-7,120.1725116920,22.9991409465
196,D07,安平區,0123,上鯤鯓段,418-8,120.1725031570,22.9991010793
197,D07,安平區,0123,上鯤鯓段,418-9,120.1726146930,22.9991107481
198,D07,安平區,0123,上鯤鯓段,419,120.1725925594,22.9990069975
199,D07,安平區,0123,上鯤鯓段,419-1,120.1724935442,22.9990558439
200,D07,安平區,0123,上鯤鯓段,419-5,120.1724850649,22.9990169855
201,D07,安平區,0123,上鯤鯓段,419-6,120.1724781991,22.9989844211
202,D07,安平區,0123,上鯤鯓段,419-7,120.1724711597,22.9989517207
203,D07,安平區,0123,上鯤鯓段,419-8,120.1724661102,22.9989077300
204,D07,安平區,0123,上鯤鯓段,419-9,120.1725713300,22.9989075556
205,D07,安平區,0123,上鯤鯓段,420,120.1735618486,22.9985096494
