Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
46537,D34,關廟區,7137,埤頭段,622,120.3051126167,23.0009246657
46538,D34,關廟區,7137,埤頭段,1442,120.3085372403,22.9988309253
46539,D34,關廟區,7137,埤頭段,768,120.2972833101,23.0112605539
46540,D34,關廟區,7137,埤頭段,1369,120.3088124655,22.9953457645
46541,D34,關廟區,7137,埤頭段,1997,120.3164315910,23.0050512102
46542,D34,關廟區,7137,埤頭段,2363,120.3132740909,23.0098774691
46543,D34,關廟區,7137,埤頭段,1316,120.3083371597,22.9959741804
46544,D34,關廟區,7137,埤頭段,761,120.2958030169,23.0080034174
46545,D34,關廟區,7137,埤頭段,429,120.3014940237,22.9975858902
46546,D34,關廟區,7137,埤頭段,1831,120.3104369707,23.0057325720
46547,D34,關廟區,7137,埤頭段,2612,120.3263989033,22.9963362163
46548,D34,關廟區,7137,埤頭段,692,120.2980292281,23.0031727825
46549,D34,關廟區,7137,埤頭段,2681,120.3298890438,23.0003563363
46550,D34,關廟區,7137,埤頭段,1689,120.3195029797,22.9975042716
46551,D34,關廟區,7137,埤頭段,419,120.3020269560,22.9975997526
46552,D34,關廟區,7137,埤頭段,1370,120.3088072135,22.9954872301
46553,D34,關廟區,7137,埤頭段,137,120.3045239605,22.9923151344
46554,D34,關廟區,7137,埤頭段,2137,120.3100933647,23.0097707387
46555,D34,關廟區,7137,埤頭段,1349,120.3098254908,22.9958219498
46556,D34,關廟區,7137,埤頭段,1060,120.3070440520,23.0067558915
46557,D34,關廟區,7137,埤頭段,106,120.3011952862,22.9911070599
46558,D34,關廟區,7137,埤頭段,2570,120.3293671060,22.9917877259
46559,D34,關廟區,7137,埤頭段,257,120.3015050009,22.9962516411
46560,D34,關廟區,7137,埤頭段,1107,120.3088395340,23.0105225774
46561,D34,關廟區,7137,埤頭段,1739,120.3187977356,23.0014184117
46562,D34,關廟區,7137,埤頭段,1603,120.3167537425,22.9968274772
46563,D34,關廟區,7137,埤頭段,2215,120.3128724334,23.0090484740
46564,D34,關廟區,7137,埤頭段,1297,120.3083473460,22.9967041418
46565,D34,關廟區,7137,埤頭段,2081,120.3093704221,23.0079354966
46566,D34,關廟區,7137,埤頭段,2407,120.3158329561,23.0081404256
46567,D34,關廟區,7137,埤頭段,1715,120.3148349611,22.9994873318
46568,D34,關廟區,7137,埤頭段,1335,120.3103820908,22.9949638260
46569,D34,關廟區,7137,埤頭段,2763,120.3288692143,23.0021052814
46570,D34,關廟區,7137,埤頭段,2308,120.3092409314,23.0114363776
46571,D34,關廟區,7137,埤頭段,1307,120.3083065450,22.9962578529
46572,D34,關廟區,7137,埤頭段,2713,120.3317400784,23.0032591603
46573,D34,關廟區,7137,埤頭段,2018,120.3153901768,23.0046656338
46574,D34,關廟區,7137,埤頭段,2641,120.3298822523,22.9978041669
46575,D34,關廟區,7137,埤頭段,844,120.3000454696,23.0081803135
46576,D34,關廟區,7137,埤頭段,591,120.3036998930,22.9999733530
46577,D34,關廟區,7137,埤頭段,1094,120.3086560957,23.0095581344
46578,D34,關廟區,7137,埤頭段,1348,120.3098391851,22.9955311060
46579,D34,關廟區,7137,埤頭段,1773,120.3120075168,23.0020675237
46580,D34,關廟區,7137,埤頭段,666,120.3012291439,23.0031554208
46581,D34,關廟區,7137,埤頭段,1219,120.3088256546,23.0061556515
46582,D34,關廟區,7137,埤頭段,1433,120.3085610751,22.9978429622
46583,D34,關廟區,7137,埤頭段,521,120.2993342483,23.0006522311
46584,D34,關廟區,7137,埤頭段,2592,120.3270796317,22.9929406792
46585,D34,關廟區,7137,埤頭段,1514,120.3139689467,22.9984774662
46586,D34,關廟區,7137,埤頭段,777,120.2976412606,23.0096494324
46587,D34,關廟區,7137,埤頭段,1208,120.3089660989,23.0077750403
46588,D34,關廟區,7137,埤頭段,643,120.3032651126,23.0030667778
46589,D34,關廟區,7137,埤頭段,1245,120.3085537138,23.0047123428
46590,D34,關廟區,7137,埤頭段,1829,120.3104102559,23.0054304282
46591,D34,關廟區,7137,埤頭段,1198,120.3089410855,23.0079805797
46592,D34,關廟區,7137,埤頭段,2450,120.3173682959,23.0090717368
46593,D34,關廟區,7137,埤頭段,245,120.3022544030,22.9962258899
46594,D34,關廟區,7137,埤頭段,318,120.3020264471,22.9967622713
46595,D34,關廟區,7137,埤頭段,2764,120.3284885937,23.0013677946
46596,D34,關廟區,7137,埤頭段,1703,120.3181108483,22.9991663545
46597,D34,關廟區,7137,埤頭段,2297,120.3120459551,23.0097438569
46598,D34,關廟區,7137,埤頭段,1314,120.3083200854,22.9961154900
46599,D34,關廟區,7137,埤頭段,948,120.3044139022,23.0105603204
46600,D34,關廟區,7137,埤頭段,1631,120.3168720464,22.9934116551
46601,D34,關廟區,7137,埤頭段,2446,120.3176718331,23.0103383581
46602,D34,關廟區,7137,埤頭段,1086,120.3066260200,23.0090932473
46603,D34,關廟區,7137,埤頭段,87,120.3015082875,22.9934996675
46604,D34,關廟區,7137,埤頭段,870,120.3037522586,23.0050002442
46605,D34,關廟區,7137,埤頭段,1037,120.3079063643,23.0055694423
46606,D34,關廟區,7137,埤頭段,2424,120.3150401029,23.0102003431
46607,D34,關廟區,7137,埤頭段,2486,120.3194745730,23.0102948178
46608,D34,關廟區,7137,埤頭段,2762,120.3290308492,23.0019322667
46609,D34,關廟區,7137,埤頭段,1879,120.3091210547,23.0060879328
46610,D34,關廟區,7137,埤頭段,1661,120.3175224360,22.9945436636
46611,D34,關廟區,7137,埤頭段,1857,120.3097804657,23.0055952862
46612,D34,關廟區,7137,埤頭段,2398,120.3170446705,23.0084540880
46613,D34,關廟區,7137,埤頭段,1162,120.3090029272,23.0105351692
46614,D34,關廟區,7137,埤頭段,1058,120.3062916047,23.0071248792
46615,D34,關廟區,7137,埤頭段,883,120.3052713642,23.0037182056
46616,D34,關廟區,7137,埤頭段,2172,120.3113090135,23.0098624057
46617,D34,關廟區,7137,埤頭段,1991,120.3168262731,23.0049069777
46618,D34,關廟區,7137,埤頭段,2814,120.3285763179,23.0075120982
46619,D34,關廟區,7137,埤頭段,1927,120.3153274391,23.0044894009
46620,D34,關廟區,7137,埤頭段,1859,120.3097614314,23.0053430439
46621,D34,關廟區,7137,埤頭段,1635,120.3169234968,22.9933186193
46622,D34,關廟區,7137,埤頭段,2016,120.3155365905,23.0047078650
46623,D34,關廟區,7137,埤頭段,4,120.2981491623,22.9921815843
46624,D34,關廟區,7137,埤頭段,40,120.2987448872,22.9942692178
46625,D34,關廟區,7137,埤頭段,400,120.3026176401,22.9975775464
46626,D34,關廟區,7137,埤頭段,1363,120.3086658355,22.9947729693
46627,D34,關廟區,7137,埤頭段,1975,120.3179829837,23.0040193792
46628,D34,關廟區,7137,埤頭段,2571,120.3292471972,22.9919852763
46629,D34,關廟區,7137,埤頭段,347,120.3016692692,22.9968318526
46630,D34,關廟區,7137,埤頭段,1382,120.3085533637,22.9960387141
46631,D34,關廟區,7137,埤頭段,1517,120.3127424162,22.9983670453
46632,D34,關廟區,7137,埤頭段,1008,120.3064215198,23.0045825884
46633,D34,關廟區,7137,埤頭段,475,120.3049498807,22.9975502553
46634,D34,關廟區,7137,埤頭段,2772,120.3266172360,23.0020466337
46635,D34,關廟區,7137,埤頭段,1108,120.3087383675,23.0105057086
46636,D34,關廟區,7137,埤頭段,1673,120.3178237737,22.9953630089
46637,D34,關廟區,7137,埤頭段,671,120.3000136697,23.0041904384
46638,D34,關廟區,7137,埤頭段,2368,120.3142875253,23.0102546280
46639,D34,關廟區,7137,埤頭段,2818,120.3287542918,23.0082294914
46640,D34,關廟區,7137,埤頭段,1854,120.3098170025,23.0059897034
46641,D34,關廟區,7137,埤頭段,2262,120.3167095511,23.0064851840
46642,D34,關廟區,7137,埤頭段,1048,120.3065753026,23.0053861927
46643,D34,關廟區,7137,埤頭段,2232,120.3139405931,23.0074706912
46644,D34,關廟區,7137,埤頭段,1731,120.3188467584,23.0006027297
46645,D34,關廟區,7137,埤頭段,718,120.3027991508,23.0054936153
46646,D34,關廟區,7137,埤頭段,763,120.2960902002,23.0084713148
46647,D34,關廟區,7137,埤頭段,2514,120.3212728638,22.9929806851
46648,D34,關廟區,7137,埤頭段,537,120.3009698167,23.0001961005
46649,D34,關廟區,7137,埤頭段,1637,120.3172198689,22.9931403578
46650,D34,關廟區,7137,埤頭段,2549,120.3278844557,22.9869658319
46651,D34,關廟區,7137,埤頭段,2374,120.3142543633,23.0088688074
46652,D34,關廟區,7137,埤頭段,1023,120.3080077756,23.0031189550
46653,D34,關廟區,7137,埤頭段,2515,120.3220068258,22.9924692518
46654,D34,關廟區,7137,埤頭段,2822,120.3282331391,23.0089586886
46655,D34,關廟區,7137,埤頭段,468,120.3043532413,22.9964859108
46656,D34,關廟區,7137,埤頭段,2525,120.3228272871,22.9912112013
46657,D34,關廟區,7137,埤頭段,2656,120.3326149608,22.9944112822
46658,D34,關廟區,7137,埤頭段,1887,120.3098430422,23.0060356452
46659,D34,關廟區,7137,埤頭段,2329,120.3120576550,23.0101696845
46660,D34,關廟區,7137,埤頭段,1280,120.3083082255,22.9977830869
46661,D34,關廟區,7137,埤頭段,1495,120.3092384570,23.0012898673
46662,D34,關廟區,7137,埤頭段,128,120.3035184494,22.9908751635
46663,D34,關廟區,7137,埤頭段,1818,120.3106141270,23.0057840559
46664,D34,關廟區,7137,埤頭段,2263,120.3164625980,23.0058707150
46665,D34,關廟區,7137,埤頭段,2384,120.3141957766,23.0079734820
46666,D34,關廟區,7137,埤頭段,536,120.3000001468,23.0005901536
46667,D34,關廟區,7137,埤頭段,436,120.3015893089,22.9978734537
46668,D34,關廟區,7137,埤頭段,1564,120.3133502637,22.9951303670
46669,D34,關廟區,7137,埤頭段,1205,120.3088257940,23.0077051413
46670,D34,關廟區,7137,埤頭段,2632,120.3274405865,22.9978140836
46671,D34,關廟區,7137,埤頭段,2261,120.3167904112,23.0065584885
46672,D34,關廟區,7137,埤頭段,1984,120.3175476720,23.0050683167
46673,D34,關廟區,7137,埤頭段,2326,120.3115004964,23.0100793325
46674,D34,關廟區,7137,埤頭段,2761,120.3286211511,23.0018646159
46675,D34,關廟區,7137,埤頭段,2032,120.3133810559,23.0044335063
46676,D34,關廟區,7137,埤頭段,1985,120.3171428070,23.0052413393
46677,D34,關廟區,7137,埤頭段,2129,120.3098251595,23.0088674793
46678,D34,關廟區,7137,埤頭段,2183,120.3115610845,23.0094085061
46679,D34,關廟區,7137,埤頭段,983,120.3057530769,23.0086271540
46680,D34,關廟區,7137,埤頭段,792,120.2964979161,23.0081859991
46681,D34,關廟區,7137,埤頭段,597,120.3033430677,22.9999204163
46682,D34,關廟區,7137,埤頭段,1404,120.3084574391,22.9966447726
46683,D34,關廟區,7137,埤頭段,922,120.3042224669,23.0067858359
46684,D34,關廟區,7137,埤頭段,2473,120.3186890368,23.0103995208
